block_height,hash,waiting_time,gas_price,gas_used,fees
6819223,049b60,7,22000000000,38399,844778000000000
6819573,d24d36,51,1000000000,21000,21000000000000
6819324,902e04,5,12000000000,21000,252000000000000
6819262,dd6587,10,50000000000,38104,1905200000000000
6819065,59ab6f,4,72000000000,37292,2685024000000000
6819364,8f7b23,85,12000000000,21000,252000000000000
6819246,5b5da6,2,71000000000,21000,1491000000000000
6819522,b31340,5,31000000000,21000,651000000000000
6819299,e0ff53,0,4000000000,52146,208584000000000
6819295,a34f19,0,31000000000,21000,651000000000000
6819481,7e5a44,56,50000000000,38233,1911650000000000
6819010,71f48c,12,50000000000,21000,1050000000000000
6819025,6add96,0,63500000000,143081,9085643500000000
6819608,ac5c59,0,13000000000,21000,273000000000000
6819271,ceaee7,2,9000000000,177737,1599633000000000
6819449,7cc0b9,6,41000000000,21000,861000000000000
6819245,a36693,7,41000000000,21000,861000000000000
6819447,4def3c,7,72000000000,52658,3791376000000000
6819508,494c22,10,50000000000,21000,1050000000000000
6819600,db1d44,2,20000000000,21000,420000000000000
6819323,5c6cbc,10,50000000000,73965,3698250000000000
6819592,1e4fac,12,71000000000,21000,1491000000000000
6819591,660174,24,66000000000,37879,2500014000000000
6819201,4547e5,23,47000000000,36925,1735475000000000
6819290,20f7d8,2,20200000000,21000,424200000000000
6819330,248221,24,62000000000,143081,8871022000000000
6819128,adef28,4,12000000000,22841,274092000000000
6819149,f6be52,3,23000000000,136916,3149068000000000
6819443,5eb287,9,60000000000,21000,1260000000000000
6819592,ff1a13,11,61646736803,21000,1294581472863000
6819433,91900a,24,50000000000,21000,1050000000000000
6819182,1e3405,5,31000000000,21000,651000000000000
6819195,9c43b2,13,50000000000,53422,2671100000000000
6819023,aaff64,3944,4000000000,47455,189820000000000
6819514,1b5b96,21,62000000000,52111,3230882000000000
6819034,68d439,1,50000000000,21000,1050000000000000
6819364,794381,92,13000000000,21000,273000000000000
6819205,f9c45d,0,61000000000,21000,1281000000000000
6819573,afef37,50,1000000000,21000,21000000000000
6819388,5bbfa1,55,20000000000,29427,588540000000000
6819286,62ac79,9,31000000000,22222,688882000000000
6819439,75aace,8,20000000000,22190,443800000000000
6819003,e11c72,11,50000000000,52973,2648650000000000
6819574,2be021,4,48343750000,21000,1015218750000000
6819527,e74c0c,13,30000000000,21000,630000000000000
6819415,8671ed,36,62000000000,143081,8871022000000000
6819064,6a3147,9,51900000000,30416,1578590400000000
6819201,3add73,7,71000000000,21000,1491000000000000
6819027,ec1f70,2,41000000000,21000,861000000000000
6819534,845eae,0,20000000000,24355,487100000000000
6819327,f3fbf3,6,18000000000,157900,2842200000000000
6819556,253628,4,61000000000,21000,1281000000000000
6819379,cf6524,40,18000000000,29427,529686000000000
6819589,00f079,11,20000000000,141940,2838800000000000
6819030,2b1172,34,23100000000,30018,693415800000000
6819036,67fd4a,12,33000000000,52454,1730982000000000
6819418,056cdd,1,14500000000,36359,527205500000000
6819032,141af7,0,10000000000,21000,210000000000000
6819026,2b43bf,0,1000000000,21051,21051000000000
6819460,980e26,106,8000000000,81240,649920000000000
6819387,a09b04,150,1000000000,21000,21000000000000
6819305,e3cdb4,0,50000000000,21000,1050000000000000
6819387,496c16,150,1000000000,21000,21000000000000
6819584,70fbeb,7,27000000000,21000,567000000000000
6819297,f38b78,17,12700000000,123600,1569720000000000
6819071,59a985,1,22000000000,21000,462000000000000
6819201,bf14d9,1,100000000000,21000,2100000000000000
6819210,4ad004,0,50000000000,21000,1050000000000000
6819182,49c898,5,31000000000,21000,651000000000000
6819092,20ad29,12,100000000000,21621,2162100000000000
6819175,6f9c43,6,40000000000,82068,3282720000000000
6819287,ed42a6,2,24000000000,21000,504000000000000
6819063,aa59fb,3,12000000000,37374,448488000000000
6819132,c01d19,0,3000000000,21000,63000000000000
6819527,207048,3,20000000000,21000,420000000000000
6819556,03a4b4,4,60000000000,21000,1260000000000000
6819251,4bc7ac,39,12000000000,36636,439632000000000
6819159,64306d,5,20000000000,142708,2854160000000000
6819117,fd8596,0,30000000000,27118,813540000000000
6819536,6ad47e,14,20000000000,38519,770380000000000
6819345,9310c7,12,18700000000,75111,1404575700000000
6819537,a62766,16,62000000000,143081,8871022000000000
6819196,84f880,0,1000000000,21051,21051000000000
6819180,1e63ee,0,100000000000,52613,5261300000000000
6819335,12bdb4,6,25000009222,29258,731450269817276
6819096,0aab99,0,71000000000,21000,1491000000000000
6819416,3344c2,6,11700000000,138185,1616764500000000
6819407,be9b14,31,11000000000,21000,231000000000000
6819351,d30317,41,62000000000,143081,8871022000000000
6819199,87a07b,16,45746031746,21000,960666666666000
6819553,4fa15d,16,15000000000,329290,4939350000000000
6819214,ccf8f5,13,41000000000,30000,1230000000000000
6819601,8b3e37,10,45000000000,21000,945000000000000
6819590,1f82af,20,66000000000,37879,2500014000000000
6819309,ff8373,8,62000000000,143081,8871022000000000
6819468,0aa1d3,84,10000000000,21000,210000000000000
6819353,7e7be6,5,120000000000,21000,2520000000000000
6819557,8e6ca4,0,41000000000,21000,861000000000000
6819415,06feb8,44,62000000000,143081,8871022000000000
6819350,dd7f67,7,13500000000,37162,501687000000000
6819231,fc2bef,95,15000000000,92236,1383540000000000
6819076,158b8e,4,13200000000,21000,277200000000000
6819061,c401ba,0,1000000000,21000,21000000000000
6819582,33d2d4,7,20000000000,23285,465700000000000
6819049,2487ff,18,72000000000,91730,6604560000000000
6819132,b9012b,0,3000000000,21000,63000000000000
6819107,5d7786,47,61700000000,91322,5634567400000000
6819567,8e49fb,8,50000000000,49993,2499650000000000
6819177,743a5c,8,62000000000,38037,2358294000000000
6819028,1695c0,0,10000000000,21000,210000000000000
6819578,956ae3,16,62000000000,143081,8871022000000000
6819612,a665dc,267,5100000000,51545,262879500000000
6819205,74e04a,0,16000000000,21000,336000000000000
6819370,51417d,0,50000000000,37175,1858750000000000
6819356,43d237,1,62000000000,143081,8871022000000000
6819540,77280d,3,15000000000,21000,315000000000000
6819479,9a4d30,81,1000000000,21000,21000000000000
6819227,87e829,71,18000000000,21000,378000000000000
6819369,66566a,11,41000000000,21000,861000000000000
6819270,c108ae,1,45746031746,21000,960666666666000
6819270,5b9939,2,12000000000,21000,252000000000000
6819224,bd3a82,7,1000000000,21000,21000000000000
6819272,841490,4,12000000000,21000,252000000000000
6819315,89a309,243,11750000000,56795,667341250000000
6819177,20949d,2,72000000000,52391,3772152000000000
6819178,f09873,32,62000000000,143081,8871022000000000
6819163,bbf8c5,11,18000000000,67613,1217034000000000
6819372,a2c30a,-8,120000000000,21000,2520000000000000
6819212,5a73db,45,71000000000,21000,1491000000000000
6819259,1de677,0,18000000000,67941,1222938000000000
6819309,626d02,0,60000000000,21000,1260000000000000
6819208,1f72b5,8,62000000000,143081,8871022000000000
6819106,0aae19,-1,100000000000,21621,2162100000000000
6819552,1f1589,259,3000000000,21000,63000000000000
6819004,4ed412,-286,63950000000,143081,9150029950000000
6819369,8d60ce,4,23000000000,21000,483000000000000
6819143,7ed7fb,23,71000000000,21000,1491000000000000
6819015,8525ef,3976,5000000000,1558922,7794610000000000
6819608,1a53d4,-3,13600000000,33766,459217600000000
6819425,2e1e9a,1,15000000000,36927,553905000000000
6819432,8a4f9b,5,11700000000,138185,1616764500000000
6819108,b053da,0,1000000000,21000,21000000000000
6819068,a0ee62,-2,15000000000,344290,5164350000000000
6819066,16ac47,-1,12000000000,97518,1170216000000000
6819020,266d71,0,1000000000,21000,21000000000000
6819137,9e42f7,2,1000000000,21000,21000000000000
6819367,ac445b,9,41000000000,21000,861000000000000
6819499,51887c,0,30000000000,21000,630000000000000
6819203,857761,0,62000000000,143081,8871022000000000
6819090,289de8,28,10000000000,21000,210000000000000
6819483,709329,17,62000000000,143081,8871022000000000
6819318,8a81e4,4,62000000000,143081,8871022000000000
6819145,c2f397,17,66000000000,22237,1467642000000000
6819189,015c5d,16,60000000000,21000,1260000000000000
6819299,f42afc,0,5000000000,51835,259175000000000
6819499,0439ae,1,1000000000000,36621,36621000000000000
6819584,5ce277,6,22000000000,52222,1148884000000000
6819000,e7f097,4,50000000000,21000,1050000000000000
6819239,7f75ff,1,10000000000,52304,523040000000000
6819330,9489e2,3,62000000000,143081,8871022000000000
6819436,c0e8ab,3,15000000000,82014,1230210000000000
6819536,b1627c,11,50000000000,71194,3559700000000000
6819417,443347,1,12000000000,21000,252000000000000
6819219,f9c81e,11,50000000000,34470,1723500000000000
6819303,690825,15,50000000000,57858,2892900000000000
6819190,17eec2,100,50000000000,21000,1050000000000000
6819567,ae6ca7,8,50000000000,50057,2502850000000000
6819006,16ce90,7,16000000000,21000,336000000000000
6819407,7fdfb2,10,11000000000,814005,8954055000000000
6819198,d65d76,5,30000000000,52553,1576590000000000
6819018,2ba97f,5,60000000000,21000,1260000000000000
6819164,1ec819,18,62000000000,143081,8871022000000000
6819448,d2969c,-10,62000000000,143081,8871022000000000
6819367,a52482,5,51900000000,24607,1277103300000000
6819182,79b4a3,17,31000000000,22845,708195000000000
6819249,b7ca01,-45,100000000000,36621,3662100000000000
6819305,40bdb4,1,45746031746,21000,960666666666000
6819504,b6931b,7,50000000000,21000,1050000000000000
6819177,833e55,0,18000000000,44591,802638000000000
6819470,d6d33a,57,15000000000,47503,712545000000000
6819301,029cde,5,60000000000,21000,1260000000000000
